编号,一级标题,二级标题,三级标题,四级标题,链接标题,HTTP方法,URI,HTTP代码,载荷,附件
1,会员管理,添加会员,NULL,NULL,NULL,POST,/admin2m0GHi12MA12ge/module/index.php?module=user&act=insert,200,./postdata/1.json,NULL
2,网站信息管理,添加网站信息管理,NULL,NULL,NULL,POST,/admin2m0GHi12MA12ge/module/index.php?module=info&act=Insert,200,./postdata/2.json,NULL
3,新闻管理,添加新闻,NULL,NULL,NULL,POST,/admin2m0GHi12MA12ge/module/index.php?module=news&act=Insert,200,./postdata/3.json,NULL
4,门类学科,添加门类,NULL,NULL,NULL,POST,/admin2m0GHi12MA12ge/module/index.php?module=subjectType&act=Insert,200,./postdata/4.json,NULL
5,门类学科,添加学科,NULL,NULL,NULL,POST,/admin2m0GHi12MA12ge/module/index.php?module=subject&act=Insert,200,./postdata/5.json,NULL
6,学校管理,添加学校,NULL,NULL,NULL,POST,/admin2m0GHi12MA12ge/module/index.php?module=school&act=Insert,200,./postdata/6.json,NULL
7,学院管理,添加学院,NULL,NULL,NULL,POST,/admin2m0GHi12MA12ge/module/index.php?module=college&act=Insert,200,./postdata/7.json,NULL
8,专业管理,添加专业名称,NULL,NULL,NULL,POST,/admin2m0GHi12MA12ge/module/index.php?module=specialyName&act=Insert,200,./postdata/8.json,NULL
9,专业管理,添加学校专业,NULL,NULL,NULL,POST,/admin2m0GHi12MA12ge/module/index.php?module=speciality&act=Insert,200,./postdata/9.json,NULL
10,圈子管理,添加圈子,NULL,NULL,NULL,POST,/admin2m0GHi12MA12ge/module/index.php?module=club&act=Insert,200,./postdata/10.json,NULL
11,调剂信息管理,添加学校信息,NULL,NULL,NULL,POST,/admin2m0GHi12MA12ge/module/index.php?module=tiaoji&act=insert,200,./postdata/11.json,NULL
12,专题管理,创建专题,NULL,NULL,NULL,POST,/admin2m0GHi12MA12ge/module/index.php?module=topic&act=insert,200,./postdata/12.json,NULL
13,辅导机构管理,创建辅导机构,NULL,NULL,NULL,POST,/admin2m0GHi12MA12ge/module/index.php?module=organization&act=insert,200,./postdata/13.json,NULL
14,授课方式及地点管理,添加授课方式及地点,NULL,NULL,NULL,POST,/admin2m0GHi12MA12ge/module/index.php?module=teachType&act=insert,200,./postdata/14.json,NULL
15,团购管理,添加团购信息,NULL,NULL,NULL,POST,/admin2m0GHi12MA12ge/module/index.php?module=tuangou&act=Insert,200,./postdata/15.json,NULL
16,在线调查模块,添加在线调查,NULL,NULL,NULL,POST,/admin2m0GHi12MA12ge/module/index.php?module=vote&act=Insert,200,./postdata/16.json,NULL
17,书籍管理,添加书籍,NULL,NULL,NULL,POST,/admin2m0GHi12MA12ge/module/index.php?module=book&act=Insert,200,./postdata/17.json,NULL
18,笔记管理,添加笔记,NULL,NULL,NULL,POST,/admin2m0GHi12MA12ge/module/index.php?module=note&act=Insert,200,./postdata/18.json,NULL
19,会员管理,会员列表,NULL,NULL,NULL,GET,/admin2m0GHi12MA12ge/module/index.php?module=user&act=list&totalnum=552776&pagenum=1,200,NULL,NULL
