编号,一级标题,二级标题,三级标题,四级标题,链接标题,HTTP方法,URI,HTTP代码,载荷,附件
2,考研报名,考研流程,考研目标确定,NULL,研究生招生单位,GET,/graduate/,200,NULL,NULL
3,考研报名,考研流程,复习计划制定,NULL,考研复习安排表,GET,/info/article/id/303511.shtml,200,NULL,NULL
4,考研报名,考研流程,考研基础复习,NULL,公共课复习,GET,/info/main/ClassID/5/sum/class_list.shtml,200,NULL,NULL
5,考研报名,招生资讯,考研时间,NULL,2023考研时间表,GET,/info/article/id/463355.shtml,200,NULL,NULL
6,考研报名,招生资讯,考研时间,NULL,2023考研日程表,GET,/info/article/id/463343.shtml,200,NULL,NULL
7,考研报名,招生资讯,考研时间,NULL,2022考研时间定了！正式网报时间有变化,GET,/info/article/id/410967.shtml,200,NULL,NULL
8,考研报名,招生资讯,政策规章,NULL,2023年全国硕士研究生招生考试公告,GET,/info/article/id/464165.shtml,200,NULL,NULL
9,考研报名,招生资讯,政策规章,NULL,2023年全国硕士研究生招生工作管理规定,GET,/info/article/id/463359.shtml,200,NULL,NULL
10,考研报名,招生资讯,政策规章,NULL,教育部部署做好2023年全国硕士研究生考试招生工作,GET,/info/article/id/463341.shtml,200,NULL,NULL
11,考研报名,招生资讯,报考指南,NULL,2023年考研报名人数汇总_考研报名人数多少,GET,/info/article/id/471273.shtml,200,NULL,NULL
12,考研报名,招生资讯,报考指南,NULL,全国各省市2023年考研报考点网报公告及现场确认须知,GET,/info/article/id/466327.shtml,200,NULL,NULL
13,考研报名,招生资讯,报考指南,NULL,全国各省市2023年硕士研究生网报公告及报考点设置,GET,/info/article/id/463343.shtml,200,NULL,NULL
14,考研报名,招生资讯,考研常识,NULL,2023考研常识：五类数学的区别,GET,/info/article/id/461549.shtml,200,NULL,NULL
15,考研报名,招生资讯,考研常识,NULL,2023考研常识：英语一与英语二的区别,GET,/info/article/id/461547.shtml,200,NULL,NULL
16,考研报名,招生资讯,考研常识,NULL,2023考研常识：全国初试成绩基本要求分区是如何划定的,GET,/info/article/id/461535.shtml,200,NULL,NULL
17,考研报名,招生资讯,择校择业,NULL,国际大都市人才大战一触即发！香港城大~为梦想插上双翼！,GET,/info/article/id/476363.shtml,200,NULL,NULL
18,考研报名,招生资讯,择校择业,NULL,2022年海南师范大学电子信息硕士-计算机技术考研学科专业介绍,GET,/info/article/id/452699.shtml,200,NULL,NULL
19,考研报名,招生资讯,择校择业,NULL,2022年海南师范大学网络空间安全考研学科专业介绍,GET,/info/article/id/452697.shtml,200,NULL,NULL
20,考研报名,招生资讯,省市招生信息,NULL,全国各省市2022年考研考点安排及相关政策通知汇总,GET,/info/article/id/424291.shtml,200,NULL,NULL
21,考研报名,招生资讯,省市招生信息,NULL,福建2023年全国硕士研究生招生考试共有10.46万人报考,GET,/info/article/id/482731.shtml,200,NULL,NULL
22,考研报名,招生资讯,省市招生信息,NULL,上海2023考研人数9.4万，考点实际应考率约七成,GET,/info/article/id/482727.shtml,200,NULL,NULL
23,考研报名,招生资讯,同等学历,NULL,2022年同等学力人员申请硕士学位全国统考天津大学考点公告,GET,/info/article/id/461411.shtml,200,NULL,NULL
24,考研报名,招生资讯,同等学历,NULL,2022年同等学力申请硕士学位全国统考浙江工业大学考点温馨提醒,GET,/info/article/id/461359.shtml,200,NULL,NULL
25,考研报名,招生资讯,同等学历,NULL,2022年同等学力人员申请硕士学位全国统一考试复旦大学考点考前提醒,GET,/info/article/id/460821.shtml,200,NULL,NULL
26,考研报名,招生信息,考研准考证,NULL,安庆师范大学2023年硕士研究生准考证下载提醒,GET,/info/article/id/482517.shtml,200,NULL,NULL
27,考研报名,招生信息,考研准考证,NULL,2023年山东师范大学关于重新下载打印《准考证》的公告,GET,/info/article/id/482435.shtml,200,NULL,NULL
28,考研报名,招生信息,考研准考证,NULL,青岛大学考点关于重新下载打印2023年硕士招生考试《准考证》公告,GET,/info/article/id/482431.shtml,200,NULL,NULL
29,考研报名,招生信息,香港招生答疑,NULL,中央戏剧学院2023年港澳台硕士研究生招生考试工作办法,GET,/info/article/id/493283.shtml,200,NULL,NULL
30,考研报名,招生信息,香港招生答疑,NULL,中央音乐学院2023年港澳台硕士研究生招生拟录取办法及拟录取名额,GET,/info/article/id/493203.shtml,200,NULL,NULL
31,考研报名,招生信息,香港招生答疑,NULL,首都师范大学2023年面向港澳台地区招收研究生网络远程初试(笔试)工作办法及考生操作说明,GET,/info/article/id/492823.shtml,200,NULL,NULL
32,考研报名,招生信息,2023考研大纲,NULL,天津职业技术师范大学2023年硕士研究生招生复试大纲,GET,/info/article/id/493717.shtml,200,NULL,NULL
33,考研报名,招生信息,2023考研大纲,NULL,天津理工大学2023年硕士研究生招生考试复试大纲,GET,/info/article/id/493643.shtml,200,NULL,NULL
34,考研报名,招生信息,2023考研大纲,NULL,湖北美术学院2023年硕士研究生入学考试（复试）大纲,GET,/info/article/id/491085.shtml,200,NULL,NULL
